runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13405,0.0632413,0.0566481,0.984039,0.98404
13450,0.00354887,0.00319127,0.95115,0.951153
13451,0.00192036,0.00172723,0.867056,0.867062
13452,0.0106632,0.0095898,0.950292,0.950296
13459,0.0325475,0.0292071,0.961892,0.961898
13460,0.0320108,0.0287277,0.961701,0.961705
13461,0.03254,0.0291978,0.960978,0.960982
13463,0.034114,0.030612,0.96305,0.963054
13464,0.0334977,0.0300583,0.962415,0.96242
13465,0.0313917,0.0281927,0.960425,0.960429
13466,0.0317777,0.0285182,0.959336,0.95934
13482,0.0083608,0.00752672,0.982035,0.982038
13483,0.0281238,0.0252414,0.982146,0.982148
13484,0.0241525,0.0216758,0.982521,0.982525
13485,0.0112601,0.0101412,0.981689,0.981692
13486,0.025098,0.0225405,0.982194,0.982195
13487,0.0307201,0.0275672,0.981647,0.98165
13488,0.0281263,0.0252415,0.981509,0.981511
13489,0.0242561,0.0217904,0.981543,0.981545
13490,0.028627,0.0257141,0.982355,0.982357
13537,0.035518,0.0318802,0.9693,0.969303
13538,0.0330839,0.0297049,0.968529,0.968532
13539,0.0357776,0.0321627,0.970097,0.9701
13540,0.0351325,0.0315247,0.968182,0.968185
13541,0.0352147,0.0315946,0.968431,0.968434
13542,0.0356992,0.0320255,0.968707,0.968709
13543,0.0183198,0.0164379,0.969707,0.969711
13573,0.0375954,0.0337481,0.979289,0.979291
13574,0.0400819,0.0359635,0.979716,0.979719
13575,0.0410718,0.0368658,0.979691,0.979693
13576,0.039574,0.0355275,0.979604,0.979606
13577,0.0401753,0.036044,0.97938,0.979382
13578,0.040344,0.0362032,0.97982,0.979822
13580,0.0339678,0.0304745,0.969123,0.969127
13656,0.0135922,0.0122799,0.977851,0.977854
13657,0.00535322,0.00484809,0.977359,0.977361
13663,0.0328186,0.0294374,0.962082,0.962086
13676,0.0334253,0.0299769,0.959021,0.959024
13683,0.0519802,0.0465479,0.959187,0.959191
13696,0.0588835,0.0527743,0.953898,0.953902
13697,0.044433,0.0397992,0.951685,0.951688
13719,0.0615123,0.0551724,0.937511,0.937516
13720,0.0345668,0.0309702,0.932613,0.932619
13730,0.0974724,0.0873423,0.948005,0.948009
13747,0.100129,0.0897387,0.961023,0.961028
13768,0.0573587,0.0514135,0.970173,0.970178
13769,0.054785,0.0491025,0.970506,0.970509
13795,0.0532638,0.0476982,0.943952,0.943955
13796,0.0546989,0.0490025,0.96376,0.963763
